item_id,category,brand,current_price,anomaly_score,fraud_confidence,sold,seller_account_age_days,seller_item_count
452,electronics,Apple,133.92,26.59707355480439,32.110666905215226,yes,375,27
2587,furniture,Herman Miller,567.31,26.59106445974974,19.825148598711277,yes,526,30
6797,electronics,Apple,266.64,26.581077746546868,34.74398578624165,yes,153,2
24,electronics,Apple,237.67,26.56092302473607,34.65454922382776,yes,525,4
4262,electronics,Apple,107.11,26.5295336819731,40.6198104804768,no,416,10
7938,electronics,Apple,124.32,26.506996114992,31.327696618500184,no,237,6
8016,electronics,Apple,101.24,26.50659350381494,34.018244136625725,yes,228,6
6935,electronics,Apple,93.37,26.50417642993803,34.935686144328905,yes,500,1
6273,electronics,Apple,189.09,26.48206101019554,31.51941611678413,yes,783,35
3099,electronics,Apple,249.21,26.47385314802576,35.276128914979495,yes,637,36
